Country,latitude,longitude,SiteBdDetected,SppDet,SppTested
Kenya,-4.17105,39.4496669999999,D,3,11
Kenya,-3.50517,38.3816169999999,D,2,2
Kenya,-3.405583,38.3645,D,5,7
Kenya,-1.33386699999999,36.7961499999999,D,5,5
Kenya,-1.137817,36.6801669999999,D,1,1
Kenya,-0.416667,36.716667,D,1,1
Kenya,-0.383332999999999,36.8999999999999,D,4,4
Kenya,0.039495,35.369118,D,2,2
Kenya,0.266666999999999,34.8766669999999,D,2,2
Kenya,1.101035,35.120733,D,4,4
Kenya,1.138362,34.6895669999999,D,1,1
Lesotho,-29.3280999999999,28.4842,D,2,2
Luxembourg,49.541442,5.880857,D,1,1
Luxembourg,49.657454,5.918476,D,2,5
Luxembourg,49.703354,6.172456,N,0,3
Luxembourg,49.748581,6.091181,N,0,1
Luxembourg,49.75091,6.171908,D,1,2
Luxembourg,49.769085,5.975505,N,0,1
Luxembourg,49.80622,6.06344,D,1,3
Luxembourg,49.806223,6.060883,N,0,2
Luxembourg,49.807315,6.051521,N,0,3
Luxembourg,49.961859,6.142525,N,0,3
Madagascar,-22.2434499999999,47.01993,N,0,3
Madagascar,-22.2434499999999,47.01993,N,0,4
Madagascar,-22.2434499999999,47.01993,N,0,7
Madagascar,-22.2434499999999,47.01993,N,0,3
Madagascar,-22.2434499999999,47.01993,N,0,3
Madagascar,-22.2434499999999,47.01993,N,0,7
Madagascar,-22.2434499999999,47.01993,N,0,1
Madagascar,-20.593333,46.563333,N,0,12
Madagascar,-19.371427,47.4454929999999,N,0,3
Madagascar,-19.35854,47.3214499999999,N,0,6
Madagascar,-18.93091,47.52575,N,0,2
Madagascar,-18.9082599999999,48.50379,N,0,33
Malawi,-15.9352,35.6202,D,8,24
Malawi,-14,33.68379,D,1,1
Malaysia,5.422368,100.802059,D,3,18
Malaysia,5.740859,100.441375,N,0,5
Malaysia,5.792361,100.419105,N,0,3
Malaysia,3.713427,101.748064,D,1,12
Malaysia,5.32156,100.317291,D,1,5
Malaysia,5.439796,100.285996,N,0,3
Malaysia,5.447066,100.228136,D,3,11
Malaysia,6.643548,100.203595,N,0,3
Malaysia,3.714967,102.170767,N,0,1
Malaysia,4.05609999999999,114.9233,N,0,2
Malaysia,4.331667,100.584444,N,0,3
Malaysia,4.50499999999999,102.408889,N,0,1
Malaysia,4.84336699999999,100.633349999999,N,0,2
Malaysia,4.918056,100.831389,N,0,1
Malaysia,4.984483,100.9812,N,0,9
Malaysia,5.049722,100.945556,N,0,3
Malaysia,5.128889,100.970556,N,0,1
Malaysia,5.143333,100.489999999999,N,0,6
Malaysia,5.358056,100.493333,N,0,4
Malaysia,5.418889,100.307778,N,0,4
Malaysia,5.776944,103.0325,N,0,1
Malaysia,6.69775,100.191367,D,1,9
Malaysia,6.70148299999999,100.198367,N,0,3
Malaysia,6.70288299999999,100.205333,N,0,1
Mexico,16.738,-92.6324999999999,N,0,1
Mexico,26.90848,-108.54061,D,3,3
Mexico,28.3041799999999,-108.9136,D,2,2
Mexico,29.724,-108.831,D,1,1
Mexico,29.82151,-110.28594,N,0,1
Mexico,29.8610599999999,-110.35924,N,0,1
Mexico,30.5836499999999,-109.21674,D,2,2
Mexico,30.62425,-109.20665,D,1,1
Mexico,30.7176,-110.90031,N,0,1
Mexico,30.75974,-109.02255,N,0,1
Montserrat,16.76696,-62.18634,D,1,1
New Zealand,-44.33601,170.82371,D,1,1
New Zealand,-43.74768,172.908269999999,D,1,1
New Zealand,-43.5268799999999,172.67505,D,1,1
New Zealand,-43.5239389999999,172.577303,D,1,1
New Zealand,-43.48514,171.862789999999,D,1,1
New Zealand,-43.4463,172.62051,D,1,1
New Zealand,-43.3565299999999,170.24042,D,1,1
New Zealand,-42.5056799999999,172.68161,D,1,1
New Zealand,-42.45606,173.36779,D,1,1
New Zealand,-41.0247499999999,173.889,N,0,1
New Zealand,-40.9464899999999,175.093999999999,D,1,1
New Zealand,-40.92315,172.957429999999,D,1,1
New Zealand,-38.74334,174.73667,D,1,1
New Zealand,-37.99302,178.23827,D,1,1
New Zealand,-37.77989,175.26659,D,1,1
New Zealand,-37.7221199999999,175.95697,D,1,1
New Zealand,-36.94722,175.62764,D,1,1
New Zealand,-36.8800099999999,175.74749,D,1,1
New Zealand,-36.8029999999999,175.575999999999,N,0,1
New Zealand,-36.71867,175.50146,D,1,1
New Zealand,-36.5118799999999,175.378829999999,D,1,1
New Zealand,-35.84628,173.76638,D,1,1
New Zealand,-35.6269399999999,174.20616,D,1,1
Nigeria,6.333,5.267,D,21,21
Nigeria,6.333,5.267,D,20,20
Panama,8.71667,-82.2333299999999,D,7,7
Panama,8.96669999999999,-82.7,D,1,1
Panama,8.66667,-80.62139,D,1,3
Panama,8.561169,-80.02325,D,1,1
Panama,8.68258999999999,-79.9171199999999,N,0,1
Panama,8.69999999999999,-82.2333299999999,N,0,7
Panama,9.253037,-82.4911599999999,N,0,1
Panama,9.275947,-82.1425116,N,0,1
Panama,9.290148,-82.128746,N,0,1
Panama,9.29399199999999,-82.143319,N,0,1
Panama,9.29948,-82.0888379999999,N,0,1
Panama,9.304664,-82.1516709999999,N,0,1
Panama,9.306115,-82.13769,N,0,1
Panama,9.30635499999999,-82.1092029999999,N,0,1
Panama,9.313788,-82.121227,N,0,1
Panama,9.32533399999999,-82.156919,N,0,1
Panama,9.340329,-82.147259,N,0,1
Panama,9.34128699999999,-82.171794,N,0,1
Panama,9.34202999999999,-82.1907839999999,N,0,1
Panama,9.34428699999999,-82.161798,N,0,1
Panama,9.346303,-82.1904609999999,N,0,1
Panama,9.34940699999999,-82.2051349999999,N,0,1
Panama,9.358287,-82.203106,N,0,1
Peru,-13.63377,-71.39828,D,1,1
Peru,-13.5755599999999,-71.14055,D,2,2
Peru,-13.17956,-71.60531,D,,
Peru,-13.1377799999999,-72.3013899999999,D,1,1
Peru,-13.1203299999999,-71.57161,D,16,16
Peru,-12.90997,-71.42281,N,,
Peru,-12.56861,-70.09917,D,,
Peru,-12.46317,-72.9674,N,,
Peru,-11.11832,-74.22433,N,,
Peru,-10.9925,-75.43278,N,,
Peru,-10.61583,-75.35056,D,,
Peru,-10.61583,-75.35056,N,,
Peru,-10.27102,-74.93673,N,,
Peru,-9.36759,-75.00175,N,,
Peru,-9.14174,-75.99635,N,,
Peru,-6.89635,-76.82817,N,,
Peru,-6.58899,-75.91939,N,,
Peru,-6.5692,-76.12622,N,,
Peru,-6.4194,-76.2901,N,,
Peru,-6.29388,-76.23598,N,,
Peru,-5.4406,-78.55473,D,,
Peru,-4.65,-74.0166669999999,D,1,1
Peru,-4.54999999999999,-74,D,1,1
Philippines,14.01321,122.78706,D,5,5
Philippines,14.21428,120.65425,D,4,4
Puerto Rico,18.166667,-65.7666669999999,N,0,2
Puerto Rico,18.294,-65.8209999999999,D,1,1
Puerto Rico,18.3291399999999,-65.7639499999999,D,1,1
